timestamp,dispositivo_id,latitud,longitud,voltaje,corriente,potencia,potencia_calculada,soc,ttg_min,ah_consumidos,motor_voltaje,motor_corriente,motor_potencia,motor_rpm,motor_temp,tiempo_acumulado(s),delta_t_s,energia_wh,energia_acumulada_wh
2026-07-10T16:57:40.877614,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,0,,,0.0
2026-07-10T16:57:41.877687,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,0,,,0.0
2026-07-10T16:57:42.877820,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,1,0.98,0.0,0.0
2026-07-10T16:57:43.877953,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,2,0.93,0.0,0.0
2026-07-10T16:57:44.878352,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,3,1.02,0.0,0.0
2026-07-10T16:57:45.878213,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,4,0.95,0.0,0.0
2026-07-10T16:57:46.878396,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,5,1.1,0.0,0.0
2026-07-10T16:57:47.878499,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,6,0.98,0.0,0.0
2026-07-10T16:57:48.878565,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,7,0.9,0.0,0.0
2026-07-10T16:57:49.878706,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,8,1.04,0.0,0.0
2026-07-10T16:57:50.878764,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,9,0.98,0.0,0.0
2026-07-10T16:57:51.878846,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,10,1.0,0.0,0.0
2026-07-10T16:57:52.878938,Raspberry_Relieve1,,,39.417,0.0,0,0.0,99.0,-1,0.13,,,,,,11,1.02,0.0,0.0
2026-07-10T16:57:53.879018,Raspberry_Relieve1,,,39.416,0.0,0,0.0,99.0,-1,0.13,,,,,,12,1.01,0.0,0.0
2026-07-10T16:57:54.879118,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,13,0.96,0.0,0.0
2026-07-10T16:57:55.879199,Raspberry_Relieve1,,,39.416,0.0,0,0.0,99.0,-1,0.13,,,,,,14,1.07,0.0,0.0
2026-07-13T09:33:45.164285,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,15,0.95,0.0,0.0
2026-07-13T09:33:46.164363,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,16,1.11,0.0,0.0
2026-07-13T09:33:47.164435,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,17,0.84,0.0,0.0
2026-07-13T09:33:48.164517,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,18,1.09,0.0,0.0
2026-07-13T09:33:49.164593,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,19,0.95,0.0,0.0
2026-07-13T09:33:50.164688,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,20,1.02,0.0,0.0
2026-07-13T09:33:51.164757,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,21,0.96,0.0,0.0
2026-07-13T09:33:52.164840,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,22,1.08,0.0,0.0
2026-07-13T09:33:53.164917,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,23,0.99,0.0,0.0
2026-07-13T09:33:54.164998,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,24,1.02,0.0,0.0
2026-07-13T09:33:55.165078,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,25,0.99,0.0,0.0
2026-07-13T09:33:56.165184,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,26,0.95,0.0,0.0
2026-07-13T09:33:57.165248,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,27,1.09,0.0,0.0
2026-07-13T09:33:58.165340,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,28,1.02,0.0,0.0
2026-07-13T09:33:59.165407,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,29,0.85,0.0,0.0
2026-07-13T09:34:00.165485,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,30,1.12,0.0,0.0
2026-07-13T09:34:01.165572,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,31,0.98,0.0,0.0
2026-07-13T09:34:02.165648,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,32,1.01,0.0,0.0
2026-07-13T09:34:03.165728,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,33,0.93,0.0,0.0
2026-07-13T09:34:04.165838,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,34,1.09,0.0,0.0
2026-07-13T09:34:05.165960,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,35,0.97,0.0,0.0
2026-07-13T09:34:06.166017,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,36,0.97,0.0,0.0
2026-07-13T09:34:07.166096,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,37,0.96,0.0,0.0
2026-07-13T09:34:08.166172,Raspberry_Relieve1,,,39.416,0.0,0,0.0,99.0,-1,0.13,,,,,,38,1.06,0.0,0.0
2026-07-13T09:34:09.166251,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,39,1.0,0.0,0.0
2026-07-13T09:34:10.166329,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,40,1.01,0.0,0.0
2026-07-13T09:34:11.166433,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,41,0.95,0.0,0.0
2026-07-13T09:34:12.166538,Raspberry_Relieve1,,,39.416,0.0,0,0.0,99.0,-1,0.13,,,,,,42,1.07,0.0,0.0
2026-07-13T09:34:13.166622,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,43,1.0,0.0,0.0
2026-07-13T09:34:14.166712,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,44,1.03,0.0,0.0
2026-07-13T09:34:15.166818,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,45,0.96,0.0,0.0
2026-07-13T09:34:16.166919,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,46,1.0,0.0,0.0
2026-07-13T09:34:17.167017,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,47,1.0,0.0,0.0
2026-07-13T09:34:18.167107,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,48,0.96,0.0,0.0
2026-07-13T09:34:19.167215,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,49,1.01,0.0,0.0
2026-07-13T09:34:20.167300,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,50,0.97,0.0,0.0
2026-07-13T09:34:21.167395,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,51,1.08,0.0,0.0
2026-07-13T09:34:22.167484,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,52,1.01,0.0,0.0
2026-07-13T09:34:23.167569,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,53,0.92,0.0,0.0
2026-07-13T09:34:24.167679,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,54,0.98,0.0,0.0
2026-07-13T09:34:25.167763,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,55,1.09,0.0,0.0
2026-07-13T09:34:26.167853,Raspberry_Relieve1,,,39.415,0.0,0,0.0,99.0,-1,0.13,,,,,,56,0.95,0.0,0.0
2026-07-13T09:34:27.167972,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,57,0.98,0.0,0.0
2026-07-13T09:34:28.168099,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,59,1.57,0.0,0.0
2026-07-13T09:34:29.168204,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,59,0.52,0.0,0.0
2026-07-13T09:34:30.168341,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,60,1.03,0.0,0.0
2026-07-13T09:34:31.168436,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,61,1.08,0.0,0.0
2026-07-13T09:34:32.168526,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,62,0.92,0.0,0.0
2026-07-13T09:34:33.168624,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,63,0.91,0.0,0.0
2026-07-13T09:34:34.168735,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,64,0.97,0.0,0.0
2026-07-13T09:34:35.168837,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,65,1.09,0.0,0.0
2026-07-13T09:34:36.168954,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,66,1.02,0.0,0.0
2026-07-13T09:34:37.169067,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,68,1.6,0.0,0.0
2026-07-13T09:34:38.169150,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,68,0.28,0.0,0.0
2026-07-13T09:34:39.169269,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,69,1.03,0.0,0.0
2026-07-13T09:34:40.169360,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,70,1.0,0.0,0.0
2026-07-13T09:34:41.169464,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,71,1.09,0.0,0.0
2026-07-13T09:34:42.169567,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,72,0.91,0.0,0.0
2026-07-13T09:34:43.169668,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,73,0.97,0.0,0.0
2026-07-13T09:34:44.169765,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,74,1.05,0.0,0.0
2026-07-13T09:34:45.169880,Raspberry_Relieve1,,,39.414,0.0,0,0.0,99.0,-1,0.13,,,,,,75,0.98,0.0,0.0
2026-07-13T09:34:46.169989,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,76,1.0,0.0,0.0
2026-07-13T09:34:47.170107,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,77,1.0,0.0,0.0
2026-07-13T09:34:48.170235,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,78,0.98,0.0,0.0
2026-07-13T09:34:49.170348,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,79,1.02,0.0,0.0
2026-07-13T09:34:50.170445,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,80,1.01,0.0,0.0
2026-07-13T09:34:51.170555,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,81,1.06,0.0,0.0
2026-07-13T09:34:52.170650,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,82,0.92,0.0,0.0
2026-07-13T09:34:53.170769,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,83,1.08,0.0,0.0
2026-07-13T09:34:54.170882,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,84,0.98,0.0,0.0
2026-07-13T09:34:55.170998,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,85,0.96,0.0,0.0
2026-07-13T09:34:56.171092,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,86,1.11,0.0,0.0
2026-07-13T09:34:57.171195,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,87,0.88,0.0,0.0
2026-07-13T09:34:58.171302,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,88,0.99,0.0,0.0
2026-07-13T09:34:59.171387,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,89,1.04,0.0,0.0
2026-07-13T09:35:00.171478,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,90,1.03,0.0,0.0
2026-07-13T09:35:01.171625,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,91,0.93,0.0,0.0
2026-07-13T09:35:02.171712,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,92,1.09,0.0,0.0
2026-07-13T09:35:03.171828,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,93,0.9,0.0,0.0
2026-07-13T09:35:04.171960,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,94,1.08,0.0,0.0
2026-07-13T09:35:05.172067,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,95,0.92,0.0,0.0
2026-07-13T09:35:06.172178,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,96,1.01,0.0,0.0
2026-07-13T09:35:07.172270,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,97,1.05,0.0,0.0
2026-07-13T09:35:08.172380,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,98,0.99,0.0,0.0
2026-07-13T09:35:09.172476,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,99,0.96,0.0,0.0
2026-07-13T09:35:10.172574,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,100,1.14,0.0,0.0
2026-07-13T09:35:11.172671,Raspberry_Relieve1,,,39.413,0.0,0,0.0,99.0,-1,0.13,,,,,,101,0.97,0.0,0.0
2026-07-13T09:35:12.172789,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,102,0.89,0.0,0.0
2026-07-13T09:35:13.172890,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,103,1.09,0.0,0.0
2026-07-13T09:35:14.172989,Raspberry_Relieve1,,,39.412,0.0,0,0.0,99.0,-1,0.13,,,,,,104,0.97,0.0,0.0
2026-07-13T09:35:15.173112,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,105,1.11,0.0,0.0
2026-07-13T09:35:16.173195,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,106,0.86,0.0,0.0
2026-07-13T09:35:17.173290,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,107,1.03,0.0,0.0
2026-07-13T09:35:18.173390,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,108,1.03,0.0,0.0
2026-07-13T09:35:19.173489,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,109,1.01,0.0,0.0
2026-07-13T09:35:20.173592,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,110,0.93,0.0,0.0
2026-07-13T09:35:21.173687,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,111,1.09,0.0,0.0
2026-07-13T09:35:22.173775,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,112,0.94,0.0,0.0
2026-07-13T09:35:23.173882,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,113,0.96,0.0,0.0
2026-07-13T09:35:24.173984,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,114,1.06,0.0,0.0
2026-07-13T09:35:25.174071,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,115,0.99,0.0,0.0
2026-07-13T09:35:26.174158,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,116,1.0,0.0,0.0
2026-07-13T09:35:27.174260,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,117,0.94,0.0,0.0
2026-07-13T09:35:28.174352,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,118,0.99,0.0,0.0
2026-07-13T09:35:29.174449,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,119,1.05,0.0,0.0
2026-07-13T09:35:30.174548,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,120,0.97,0.0,0.0
2026-07-13T09:35:31.174643,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,121,1.03,0.0,0.0
2026-07-13T09:35:32.174738,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,122,1.06,0.0,0.0
2026-07-13T09:35:33.174853,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,123,0.96,0.0,0.0
2026-07-13T09:35:34.174966,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,124,0.95,0.0,0.0
2026-07-13T09:35:35.175092,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,125,0.98,0.0,0.0
2026-07-13T09:35:36.175192,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,126,0.97,0.0,0.0
2026-07-13T09:35:37.175290,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,127,1.17,0.0,0.0
2026-07-13T09:35:38.175400,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,128,0.86,0.0,0.0
2026-07-13T09:35:39.175519,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,130,1.48,0.0,0.0
2026-07-13T09:35:40.175622,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,130,0.49,0.0,0.0
2026-07-13T09:35:41.175718,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,131,1.05,0.0,0.0
2026-07-13T09:35:42.175834,Raspberry_Relieve1,,,39.411,0.0,0,0.0,99.0,-1,0.13,,,,,,132,0.99,0.0,0.0
2026-07-13T09:35:43.175965,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,133,1.08,0.0,0.0
2026-07-13T09:35:44.176065,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,134,1.02,0.0,0.0
2026-07-13T09:35:45.176173,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,135,0.89,0.0,0.0
2026-07-13T09:35:46.176281,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,136,1.06,0.0,0.0
2026-07-13T09:35:47.176395,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,137,0.98,0.0,0.0
2026-07-13T09:35:48.176514,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,138,1.0,0.0,0.0
2026-07-13T09:35:49.176616,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,139,0.97,0.0,0.0
2026-07-13T09:35:50.176717,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,140,1.0,0.0,0.0
2026-07-13T09:35:51.176822,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,141,0.99,0.0,0.0
2026-07-13T09:35:52.176929,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,142,1.04,0.0,0.0
2026-07-13T09:35:53.177031,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,143,1.04,0.0,0.0
2026-07-13T09:35:54.177143,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,144,0.9,0.0,0.0
2026-07-13T09:35:55.177247,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,145,1.04,0.0,0.0
2026-07-13T09:35:56.177369,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,146,1.04,0.0,0.0
2026-07-13T09:35:57.177469,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,147,1.02,0.0,0.0
2026-07-13T09:35:58.177608,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,148,0.94,0.0,0.0
2026-07-13T09:35:59.177717,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,149,1.01,0.0,0.0
2026-07-13T09:36:00.177826,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,150,1.03,0.0,0.0
2026-07-13T09:36:01.177960,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,151,0.93,0.0,0.0
2026-07-13T09:36:02.178083,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,152,0.98,0.0,0.0
2026-07-13T09:36:03.178210,Raspberry_Relieve1,,,39.41,0.0,0,0.0,99.0,-1,0.13,,,,,,153,1.07,0.0,0.0
2026-07-13T09:36:04.178314,Raspberry_Relieve1,,,39.409,0.0,0,0.0,99.0,-1,0.13,,,,,,154,1.04,0.0,0.0
2026-07-13T09:36:05.178437,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,155,0.93,0.0,0.0
2026-07-13T09:36:06.178567,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,156,1.0,0.0,0.0
2026-07-13T09:36:07.178692,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,157,1.01,0.0,0.0
2026-07-13T09:36:08.178821,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,158,1.0,0.0,0.0
2026-07-13T09:36:09.178955,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,159,1.02,0.0,0.0
2026-07-13T09:36:10.179072,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,160,0.96,0.0,0.0
2026-07-13T09:36:11.179193,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,161,1.03,0.0,0.0
2026-07-13T09:36:12.179317,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,162,0.95,0.0,0.0
2026-07-13T09:36:13.179439,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,163,1.0,0.0,0.0
2026-07-13T09:36:14.179525,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,164,1.02,0.0,0.0
2026-07-13T09:36:15.179655,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,165,1.04,0.0,0.0
2026-07-13T09:36:16.179779,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,166,1.05,0.0,0.0
2026-07-13T09:36:17.179938,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,167,0.97,0.0,0.0
2026-07-13T09:36:18.180045,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,168,0.92,0.0,0.0
2026-07-13T09:36:19.180177,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,169,1.0,0.0,0.0
2026-07-13T09:36:20.180314,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,170,1.0,0.0,0.0
2026-07-13T09:36:21.180431,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,171,1.01,0.0,0.0
2026-07-13T09:36:22.180553,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,172,1.03,0.0,0.0
2026-07-13T09:36:23.180680,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,173,0.96,0.0,0.0
2026-07-13T09:36:24.180796,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,174,1.1,0.0,0.0
2026-07-13T09:36:25.180912,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,175,0.93,0.0,0.0
2026-07-13T09:36:26.181032,Raspberry_Relieve1,,,39.405,0.0,0,0.0,99.0,-1,0.13,,,,,,176,1.05,0.0,0.0
2026-07-13T09:36:27.181168,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,177,1.13,0.0,0.0
2026-07-13T09:36:28.181295,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,178,0.87,0.0,0.0
2026-07-13T09:36:29.181404,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,179,0.92,0.0,0.0
2026-07-13T09:36:30.181519,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,180,1.09,0.0,0.0
2026-07-13T09:36:31.181630,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,181,0.91,0.0,0.0
2026-07-13T09:36:32.181736,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,182,0.99,0.0,0.0
2026-07-13T09:36:33.181848,Raspberry_Relieve1,,,39.406,0.0,0,0.0,99.0,-1,0.13,,,,,,183,1.03,0.0,0.0
2026-07-13T09:36:34.181949,Raspberry_Relieve1,,,39.408,0.0,0,0.0,99.0,-1,0.13,,,,,,184,1.04,0.0,0.0
2026-07-13T09:36:35.182056,Raspberry_Relieve1,,,39.407,0.0,0,0.0,99.0,-1,0.13,,,,,,185,0.94,0.0,0.0
